"LNGS Time","PUR_PT275_PPUMPOUTLET.PI","PUR_PT271_PHEOUTLET.PI","PUR_PT276_PPUMPOUTLET.PI","PUR_DPT288_PMON_A.PI","PUR_P271_P271_PUB_FMON.PI","PUR_P272_P272_PUB_FMON.PI","PUR_PCV287SET_AO.PI","PUR_FCV286SET_AO.PI"
"2021-12-06 08:00:00",1.71645700931549,3.31613373756409,4.94553232192993,89.2738342285156,0,32,14,10
"2021-12-06 09:00:00",1.7182981967926,3.29903769493103,4.94290256500244,91.5345916748047,0,32,14,10
"2021-12-06 10:00:00",1.71777212619781,3.31218838691711,4.9218602180481,91.1195526123047,0,32,14,10
"2021-12-06 11:00:00",1.7217173576355,3.32665467262268,4.92790937423706,91.9105911254883,0,32,14,10
"2021-12-06 12:00:00",1.71908712387085,3.30035281181335,4.93317079544067,91.3392791748047,0,32,14,10
"2021-12-06 13:00:00",1.71698307991028,3.30429816246033,4.93632698059082,90.9095764160156,0,32,14,10
"2021-12-06 14:00:00",1.71961319446564,3.30429816246033,4.92264938354492,90.8265686035156,0,32,14,10
"2021-12-06 15:00:00",1.71645700931549,3.30771732330322,4.94369125366211,91.3734588623047,0,32,14,10
"2021-12-06 16:00:00",1.71698307991028,3.30166792869568,4.93238162994385,89.7035217285156,0,32,14,10
"2021-12-06 17:00:00",1.71566796302795,3.32007884979248,4.96394348144531,87.432975769043,0,32,14,10
"2021-12-06 18:00:00",1.71645700931549,3.30035281181335,4.93317079544067,93.4389343261719,0,32,14,10
"2021-12-06 19:00:00",1.71698307991028,3.31350350379944,4.94684743881226,93.1068801879883,0,32,14,10
"2021-12-06 20:00:00",1.71961319446564,3.29640769958496,4.92975044250488,94.6840667724609,0,32,14,10
"2021-12-06 21:00:00",1.71777212619781,3.31481862068176,4.94106149673462,92.7650833129883,0,32,14,10
"2021-12-06 22:00:00",1.71908712387085,3.30824327468872,4.92054510116577,93.9516296386719,0,32,14,10
"2021-12-06 23:00:00",1.71961319446564,3.31876373291016,4.92712068557739,90.7044982910156,0,32,14,10
"2021-12-07 00:00:00",1.71645700931549,3.32612872123718,4.95342302322388,90.9339904785156,0,32,14,10
"2021-12-07 01:00:00",1.71908712387085,3.3064022064209,4.94158744812012,91.4955291748047,0,32,14,10
"2021-12-07 02:00:00",1.71698307991028,3.29903769493103,4.9218602180481,89.8841857910156,0,32,14,10
"2021-12-07 03:00:00",1.71961319446564,3.30377197265625,4.93053960800171,92.8285598754883,0,32,14,10
"2021-12-07 04:00:00",1.71645700931549,3.3064022064209,4.9542121887207,91.4369354248047,0,32,14,10
"2021-12-07 05:00:00",1.71645700931549,3.30903244018555,4.92396450042725,91.1439666748047,0,32,14,10
"2021-12-07 06:00:00",1.71514201164246,3.28983235359192,4.93895721435547,92.8383255004883,0,32,14,10
"2021-12-07 07:00:00",1.71908712387085,3.30824327468872,4.9350118637085,94.9282073974609,0,32,14,10
"2021-12-07 08:00:00",1.7130378484726,3.3069281578064,4.93711614608765,93.9125671386719,0,32,14,10
"2021-12-07 09:00:00",1.71382689476013,3.31613373756409,4.93711614608765,89.7767639160156,0,32,14,10
"2021-12-07 10:00:00",1.71566796302795,3.29719662666321,4.92843580245972,95.93896484375,0,32,14,10
"2021-12-07 11:00:00",1.7182981967926,3.3069281578064,4.95210790634155,91.5687942504883,0,32,14,10
"2021-12-07 12:00:00",1.71382689476013,3.30166792869568,4.92317533493042,91.5443572998047,0,32,14,10
"2021-12-07 13:00:00",1.71566796302795,3.29640769958496,4.9350118637085,89.9818420410156,0,32,14,10
"2021-12-07 14:00:00",1.71382689476013,3.30903244018555,4.94632148742676,92.1303176879883,0,32,14,10
"2021-12-07 15:00:00",1.71698307991028,3.30561304092407,4.93106555938721,95.0844573974609,0,32,14,10
"2021-12-07 16:00:00",1.71251177787781,3.29640769958496,4.92843580245972,93.1947708129883,0,32,14,10
"2021-12-07 17:00:00",1.71566796302795,3.30771732330322,4.94500637054443,94.4252777099609,0,32,14,10
"2021-12-07 18:00:00",1.71251177787781,3.3064022064209,4.92054510116577,91.7055130004883,0,32,14,10
"2021-12-07 19:00:00",1.71172273159027,3.30166792869568,4.92264938354492,93.6342468261719,0,32,14,10
"2021-12-07 20:00:00",1.71251177787781,3.30429816246033,4.93632698059082,90.5824279785156,0,32,14,10
"2021-12-07 21:00:00",1.71514201164246,3.32007884979248,4.92843580245972,95.0600433349609,0,32,14,10
"2021-12-07 22:00:00",1.71382689476013,3.30561304092407,4.96394348144531,95.0502777099609,0,32,14,10
"2021-12-07 23:00:00",1.71382689476013,3.30561304092407,4.93895721435547,93.8539733886719,0,32,14,10
"2021-12-08 00:00:00",1.71566796302795,3.32349801063538,4.93632698059082,91.2025604248047,0,32,14,10
"2021-12-08 01:00:00",1.71382689476013,3.29903769493103,4.91922998428345,92.6576614379883,0,32,14,10
"2021-12-08 02:00:00",1.71382689476013,3.31429266929626,4.9350118637085,92.7894973754883,0,32,14,10
"2021-12-08 03:00:00",1.71566796302795,3.31218838691711,4.96131324768066,93.7416687011719,0,32,14,10
"2021-12-08 04:00:00",1.71172273159027,3.30166792869568,4.92712068557739,89.9574279785156,0,32,14,10
"2021-12-08 05:00:00",1.71172273159027,3.30561304092407,4.94106149673462,91.6176223754883,0,32,14,10
"2021-12-08 06:00:00",1.71172273159027,3.30166792869568,4.94632148742676,89.7865295410156,0,32,14,10
"2021-12-08 07:00:00",1.71251177787781,3.29509258270264,4.95158195495605,93.1703567504883,0,32,14,10
"2021-12-08 08:00:00",1.71119678020477,3.32007884979248,4.94763660430908,91.4857635498047,0,32,14,10
"2021-12-08 09:00:00",1.7130378484726,3.29325151443481,4.93632698059082,95.0502777099609,0,32,14,10
"2021-12-08 10:00:00",1.70988166332245,3.30429816246033,4.94106149673462,92.8627395629883,0,32,14,10
"2021-12-08 11:00:00",1.70988166332245,3.31481862068176,4.95079278945923,92.1449661254883,0,32,14,10
"2021-12-08 12:00:00",1.71040773391724,3.3064022064209,4.94553232192993,93.8295593261719,0,32,14,10
"2021-12-08 13:00:00",1.71251177787781,3.30429816246033,4.9542121887207,92.2914505004883,0,32,14,10
"2021-12-08 14:00:00",1.70988166332245,3.30429816246033,4.94369125366211,92.6918411254883,0,32,14,10
"2021-12-08 15:00:00",1.7130378484726,3.31218838691711,4.92975044250488,94.6352386474609,0,32,14,10
"2021-12-08 16:00:00",1.7130378484726,3.31350350379944,4.93843126296997,96.8569564819336,0,32,14,10
"2021-12-08 17:00:00",1.71040773391724,3.30429816246033,4.94816255569458,91.6078567504883,0,32,14,10
"2021-12-08 18:00:00",1.71566796302795,3.302983045578,4.95999813079834,92.0570755004883,0,32,14,10
"2021-12-08 19:00:00",1.71514201164246,3.31166243553162,4.93895721435547,92.7650833129883,0,32,14,10
"2021-12-08 20:00:00",1.71514201164246,3.30955839157104,4.9350118637085,93.2191848754883,0,32,14,10
"2021-12-08 21:00:00",1.71514201164246,3.29719662666321,4.93895721435547,94.2299652099609,0,32,14,10
"2021-12-08 22:00:00",1.71251177787781,3.31744885444641,4.95289707183838,94.4252777099609,0,32,14,10
"2021-12-08 23:00:00",1.71698307991028,3.31218838691711,4.93369674682617,92.3744583129883,0,32,14,10
"2021-12-09 00:00:00",1.7182981967926,3.30561304092407,4.93106555938721,91.6420364379883,0,32,14,10
"2021-12-09 01:00:00",1.71251177787781,3.3069281578064,4.94290256500244,88.336296081543,0,32,14,10
"2021-12-09 02:00:00",1.71382689476013,3.31166243553162,4.93580102920532,95.4506683349609,0,32,14,10
"2021-12-09 03:00:00",1.7182981967926,3.302983045578,4.94632148742676,91.3392791748047,0,32,14,10
"2021-12-09 04:00:00",1.7182981967926,3.31218838691711,4.92790937423706,92.7553176879883,0,32,14,10
"2021-12-09 05:00:00",1.71777212619781,3.31481862068176,4.9350118637085,92.2035598754883,0,32,14,10
"2021-12-09 06:00:00",1.7182981967926,3.30166792869568,4.94237613677979,95.5629730224609,0,32,14,10
"2021-12-09 07:00:00",1.71698307991028,3.31297755241394,4.92975044250488,89.5814514160156,0,32,14,10
"2021-12-09 08:00:00",1.71566796302795,3.31034731864929,4.94158744812012,90.0697326660156,0,32,14,10
"2021-12-09 09:00:00",1.71514201164246,3.30035281181335,4.94895172119141,95.0600433349609,0,32,14,10
"2021-12-09 10:00:00",1.7182981967926,3.30561304092407,4.94369125366211,93.3168411254883,0,32,14,10
"2021-12-09 11:00:00",1.71698307991028,3.32218313217163,4.94290256500244,93.0336380004883,0,32,14,10
"2021-12-09 12:00:00",1.71908712387085,3.30771732330322,4.94632148742676,92.3256301879883,0,32,14,10
"2021-12-09 13:00:00",1.71961319446564,3.32402420043945,4.96131324768066,96.05126953125,0,32,14,10
"2021-12-09 14:00:00",1.71908712387085,3.31218838691711,4.95868301391602,90.4603576660156,0,32,14,10
"2021-12-09 15:00:00",1.71566796302795,3.31481862068176,4.94158744812012,94.2201995849609,0,32,14,10
"2021-12-09 16:00:00",1.71645700931549,3.30903244018555,4.93843126296997,91.1683807373047,0,32,14,10
"2021-12-09 17:00:00",1.71777212619781,3.31481862068176,4.94237613677979,88.8001861572266,0,32,14,10
"2021-12-09 18:00:00",1.71514201164246,3.30035281181335,4.9350118637085,94.1469573974609,0,32,14,10
"2021-12-09 19:00:00",1.71645700931549,3.31876373291016,4.94500637054443,93.9369812011719,0,32,14,10
"2021-12-09 20:00:00",1.71566796302795,3.30955839157104,4.94290256500244,91.0951385498047,0,32,14,10
"2021-12-09 21:00:00",1.71172273159027,3.31613373756409,4.94158744812012,89.8011779785156,0,32,14,10
"2021-12-09 22:00:00",1.71251177787781,3.31429266929626,4.95158195495605,95.0844573974609,0,32,14,10
"2021-12-09 23:00:00",1.71382689476013,3.30903244018555,4.94290256500244,95.1576995849609,0,32,14,10
"2021-12-10 00:00:00",1.71382689476013,3.31166243553162,4.93843126296997,90.1673889160156,0,32,14,10
"2021-12-10 01:00:00",1.71566796302795,3.29377746582031,4.94369125366211,89.0199127197266,0,32,14,10
"2021-12-10 02:00:00",1.71566796302795,3.30377197265625,4.95815706253052,92.2426223754883,0,32,14,10
"2021-12-10 03:00:00",1.7130378484726,3.31297755241394,4.94027233123779,93.2680130004883,0,32,14,10
"2021-12-10 04:00:00",1.71698307991028,3.30561304092407,4.94106149673462,92.1205520629883,0,32,14,10
"2021-12-10 05:00:00",1.7130378484726,3.29377746582031,4.92922449111938,93.1068801879883,0,32,14,10
"2021-12-10 06:00:00",1.71777212619781,3.3064022064209,4.94500637054443,93.7660827636719,0,32,14,10
"2021-12-10 07:00:00",1.71566796302795,3.30114197731018,4.94632148742676,95.2797698974609,0,32,14,10
"2021-12-10 08:00:00",1.71645700931549,3.3064022064209,4.95289707183838,94.3666839599609,0,32,14,10
"2021-12-10 09:00:00",1.71908712387085,3.31613373756409,4.96131324768066,91.8519973754883,0,32,14,10
"2021-12-10 10:00:00",1.71908712387085,3.31613373756409,4.94237613677979,93.5951843261719,0,32,14,10
"2021-12-10 11:00:00",1.71777212619781,3.30903244018555,4.94106149673462,89.8597717285156,0,32,14,10
"2021-12-10 12:00:00",1.71566796302795,3.31876373291016,4.94290256500244,91.8861770629883,0,32,14,10
"2021-12-10 13:00:00",1.72303235530853,3.31034731864929,4.94632148742676,94.3764495849609,0,32,14,10
"2021-12-10 14:00:00",1.71645700931549,3.30561304092407,4.94290256500244,93.5463562011719,0,32,14,10
"2021-12-10 15:00:00",1.71698307991028,3.31166243553162,4.96078729629517,90.6898498535156,0,32,14,10
"2021-12-10 16:00:00",1.71908712387085,3.31876373291016,4.9218602180481,91.9838333129883,0,32,14,10
"2021-12-10 17:00:00",1.71908712387085,3.31560778617859,4.94027233123779,92.6918411254883,0,32,14,10
"2021-12-10 18:00:00",1.7130378484726,3.3069281578064,4.9350118637085,88.336296081543,0,32,14,10
"2021-12-10 19:00:00",1.7130378484726,3.30035281181335,4.93974637985229,92.5453567504883,0,32,14,10
"2021-12-10 20:00:00",1.71382689476013,3.31481862068176,4.93895721435547,90.9828338623047,0,32,14,10
"2021-12-10 21:00:00",1.71645700931549,3.31166243553162,4.94290256500244,94.7573089599609,0,32,14,10
"2021-12-10 22:00:00",1.71382689476013,3.30771732330322,4.95079278945923,92.2182083129883,0,32,14,10
"2021-12-10 23:00:00",1.71645700931549,3.29640769958496,4.93895721435547,93.7416687011719,0,32,14,10
"2021-12-11 00:00:00",1.71040773391724,3.3064022064209,4.93580102920532,88.360710144043,0,32,14,10
"2021-12-11 01:00:00",1.71514201164246,3.31218838691711,4.94632148742676,92.3988723754883,0,32,14,10
"2021-12-11 02:00:00",1.71698307991028,3.31297755241394,4.96131324768066,92.9603958129883,0,32,14,10
"2021-12-11 03:00:00",1.71514201164246,3.30771732330322,4.93895721435547,89.7865295410156,0,32,14,10
"2021-12-11 04:00:00",1.7130378484726,3.31034731864929,4.94158744812012,92.6576614379883,0,32,14,10
"2021-12-11 05:00:00",1.71566796302795,3.30245685577393,4.94369125366211,91.5834426879883,0,32,14,10
"2021-12-11 06:00:00",1.71040773391724,3.31429266929626,4.95815706253052,95.2211761474609,0,32,14,10
"2021-12-11 07:00:00",1.71777212619781,3.32086801528931,4.94106149673462,95.0600433349609,0,32,14,10
"2021-12-11 08:00:00",1.71566796302795,3.29982686042786,4.94106149673462,90.0209045410156,0,32,14,10
"2021-12-11 09:00:00",1.7182981967926,3.30245685577393,4.94684743881226,94.2787933349609,0,32,14,10
"2021-12-11 10:00:00",1.72092831134796,3.29062128067017,4.91002464294434,93.8783874511719,0,32,10,8
"2021-12-11 11:00:00",1.71514201164246,3.28325700759888,5.11333751678467,133.185607910156,0,34,10,8
"2021-12-11 12:00:00",1.71514201164246,3.28588700294495,5.14411020278931,138.85954284668,0,34,10,8
"2021-12-11 13:00:00",1.71645700931549,3.3366494178772,5.16199541091919,142.438690185547,0,34,10,8
"2021-12-11 14:00:00",1.71645700931549,3.3432252407074,5.17909240722656,151.130233764648,0,34,10,8
"2021-12-11 15:00:00",1.71382689476013,3.32402420043945,5.17251682281494,150.334320068359,0,34,10,8
"2021-12-11 16:00:00",1.71698307991028,3.31560778617859,5.14621448516846,130.265655517578,0,34,10,8
"2021-12-11 17:00:00",1.71645700931549,3.30429816246033,5.16068029403687,101.861915588379,0,34,10,8
"2021-12-11 18:00:00",1.71514201164246,3.32218313217163,5.17909240722656,130.827178955078,0,34,10,8
"2021-12-11 19:00:00",1.71382689476013,3.30955839157104,5.17041254043579,125.421829223633,0,34,10,8
"2021-12-11 20:00:00",1.71382689476013,3.32218313217163,5.189612865448,92.7650833129883,0,34,10,8
"2021-12-11 21:00:00",1.71514201164246,3.32665467262268,5.16646671295166,132.926818847656,0,34,10,8
"2021-12-11 22:00:00",1.71514201164246,3.32349801063538,5.15541982650757,81.4611968994141,0,34,10,8
"2021-12-11 23:00:00",1.71251177787781,3.31297755241394,5.14489936828613,90.5335998535156,0,34,10,8
"2021-12-12 00:00:00",1.71251177787781,3.32349801063538,5.16462564468384,92.2768020629883,0,34,10,8
"2021-12-12 01:00:00",1.71698307991028,3.3213939666748,5.16909790039063,97.2719955444336,0,34,10,8
"2021-12-12 02:00:00",1.71251177787781,3.3371753692627,5.18566751480103,121.100479125977,0,34,10,8
"2021-12-12 03:00:00",1.7130378484726,3.3213939666748,5.16725540161133,98.6001434326172,0,34,10,8
"2021-12-12 04:00:00",1.71566796302795,3.31481862068176,5.15936517715454,125.861282348633,0,34,10,8
"2021-12-12 05:00:00",1.71645700931549,3.32007884979248,5.16515159606934,132.023498535156,0,34,10,8
"2021-12-12 06:00:00",1.71961319446564,3.30429816246033,5.18040752410889,134.504013061523,0,34,10,8
"2021-12-12 07:00:00",1.71777212619781,3.31744885444641,5.17251682281494,79.571533203125,0,34,10,8
"2021-12-12 08:00:00",1.71908712387085,3.30245685577393,5.15936517715454,132.707092285156,0,34,10,8
"2021-12-12 09:00:00",1.71698307991028,3.32402420043945,5.18566751480103,96.54931640625,0,34,10,8
"2021-12-12 10:00:00",1.71961319446564,3.3332302570343,5.19934415817261,147.565734863281,0,34,10,8
"2021-12-12 11:00:00",1.71645700931549,3.32218313217163,5.16725540161133,142.951385498047,0,34,10,8
"2021-12-12 12:00:00",1.7182981967926,3.31613373756409,5.16646671295166,127.252922058105,0,34,10,8
"2021-12-12 13:00:00",1.7130378484726,3.31481862068176,5.165940284729,137.262847900391,0,34,10,8
"2021-12-12 14:00:00",1.71961319446564,3.31613373756409,5.16725540161133,137.272613525391,0,34,10,8
"2021-12-12 15:00:00",1.71961319446564,3.32744383811951,5.16725540161133,116.422668457031,0,34,10,8
"2021-12-12 16:00:00",1.71382689476013,3.31350350379944,5.17698812484741,133.527435302734,0,34,10,8
"2021-12-12 17:00:00",1.7182981967926,3.3371753692627,5.18040752410889,131.291061401367,0,34,10,8
"2021-12-12 18:00:00",1.71566796302795,3.31350350379944,5.17909240722656,136.198364257813,0,34,10,8
"2021-12-12 19:00:00",1.71382689476013,3.34506630897522,5.17777729034424,135.246200561523,0,34,10,8
"2021-12-12 20:00:00",1.71645700931549,3.31034731864929,5.17304277420044,121.110244750977,0,34,10,8
"2021-12-12 21:00:00",1.71382689476013,3.32402420043945,5.17830324172974,123.771423339844,0,34,10,8
"2021-12-12 22:00:00",1.72092831134796,3.32349801063538,5.20144939422607,112.70191192627,0,34,10,8
"2021-12-12 23:00:00",1.71382689476013,3.30245685577393,5.17909240722656,83.8782348632813,0,34,10,8
"2021-12-13 00:00:00",1.71698307991028,3.31350350379944,5.16515159606934,101.471267700195,0,34,10,8
"2021-12-13 01:00:00",1.71514201164246,3.33401918411255,5.17304277420044,133.488372802734,0,34,10,8
"2021-12-13 02:00:00",1.71777212619781,3.31823778152466,5.18040752410889,109.366912841797,0,34,10,8
"2021-12-13 03:00:00",1.71514201164246,3.34243607521057,5.17909240722656,95.5727386474609,0,34,10,8
"2021-12-13 04:00:00",1.71514201164246,3.32533979415894,5.19671440124512,128.595718383789,0,34,10,8
"2021-12-13 05:00:00",1.7130378484726,3.3069281578064,5.16199541091919,139.567565917969,0,34,10,8
"2021-12-13 06:00:00",1.71251177787781,3.32349801063538,5.17698812484741,112.05249786377,0,34,10,8
"2021-12-13 07:00:00",1.71172273159027,3.32665467262268,5.17777729034424,140.910339355469,0,34,10,8
"2021-12-13 08:00:00",1.71698307991028,3.31481862068176,5.18224859237671,114.396286010742,0,34,10,8
"2021-12-13 09:00:00",1.7130378484726,3.3213939666748,5.16515159606934,127.995109558105,0,34,10,8
"2021-12-13 10:00:00",1.71382689476013,3.30166792869568,5.1343789100647,129.572296142578,0,34,10,8
"2021-12-13 11:00:00",1.71514201164246,3.35506081581116,5.20539474487305,136.906402587891,0,34,10,8
"2021-12-13 12:00:00",1.71382689476013,3.31560778617859,5.16120624542236,96.18310546875,0,34,10,8
"2021-12-13 13:00:00",1.71514201164246,3.33586025238037,5.17777729034424,98.2583236694336,0,34,10,8
"2021-12-13 14:00:00",1.71382689476013,3.32218313217163,5.17909240722656,116.715660095215,0,34,10,8
"2021-12-13 15:00:00",1.71172273159027,3.33270406723022,5.16515159606934,128.864273071289,0,34,10,8
"2021-12-13 16:00:00",1.71382689476013,3.30903244018555,5.17698812484741,127.848625183105,0,34,10,8
"2021-12-13 17:00:00",1.7130378484726,3.31034731864929,5.18224859237671,94.7670745849609,0,34,10,8
"2021-12-13 18:00:00",1.71382689476013,3.31429266929626,5.18303728103638,113.39527130127,0,34,10,8
"2021-12-13 19:00:00",1.71251177787781,3.31429266929626,5.17251682281494,126.139617919922,0,34,10,8
"2021-12-13 20:00:00",1.71645700931549,3.33060002326965,5.17304277420044,121.403213500977,0,34,10,8
"2021-12-13 21:00:00",1.71645700931549,3.3213939666748,5.17251682281494,129.132843017578,0,34,10,8
"2021-12-13 22:00:00",1.71645700931549,3.32533979415894,5.17777729034424,104.303359985352,0,34,10,8
"2021-12-13 23:00:00",1.71119678020477,3.33927941322327,5.17251682281494,112.98023223877,0,34,10,8
"2021-12-14 00:00:00",1.71251177787781,3.3064022064209,5.16383647918701,96.8667221069336,0,34,10,8
"2021-12-14 01:00:00",1.71961319446564,3.32218313217163,5.1901388168335,104.337539672852,0,34,10,8
"2021-12-14 02:00:00",1.71382689476013,3.31218838691711,5.17120170593262,106.925468444824,0,34,10,8
"2021-12-14 03:00:00",1.71514201164246,3.31955289840698,5.16857147216797,100.528869628906,0,34,10,8
"2021-12-14 04:00:00",1.71698307991028,3.31034731864929,5.14752960205078,88.199577331543,0,34,10,8
"2021-12-14 05:00:00",1.71514201164246,3.34243607521057,5.18224859237671,145.051040649414,0,34,10,8
"2021-12-14 06:00:00",1.71566796302795,3.34059453010559,5.17435789108276,121.66202545166,0,34,10,8
"2021-12-14 07:00:00",1.71698307991028,3.34243607521057,5.19934415817261,111.515365600586,0,34,10,8
"2021-12-14 08:00:00",1.71566796302795,3.32218313217163,5.18224859237671,131.461959838867,0,34,10,8
"2021-12-14 09:00:00",1.71382689476013,3.32402420043945,5.17698812484741,111.79859161377,0,34,10,8
"2021-12-14 10:00:00",1.71777212619781,3.34191012382507,5.17435789108276,124.308547973633,0,34,10,8
"2021-12-14 11:00:00",1.71777212619781,3.31876373291016,5.17777729034424,117.316246032715,0,34,10,8
"2021-12-14 12:00:00",1.71961319446564,3.3213939666748,5.1848783493042,91.8275833129883,0,34,10,8
"2021-12-14 13:00:00",1.71514201164246,3.31481862068176,5.18303728103638,127.897453308105,0,34,10,8
"2021-12-14 14:00:00",1.71566796302795,3.30245685577393,5.15857601165771,111.87183380127,0,34,10,8
"2021-12-14 15:00:00",1.71777212619781,3.31034731864929,5.15594577789307,107.672538757324,0,34,10,8
"2021-12-14 16:00:00",1.71382689476013,3.31166243553162,5.19092798233032,131.559616088867,0,34,10,8
